student_in_batch,expected_mark,model_mark,potential_marks,strict_match,relaxed_match
1,2,1,0;1;2,False,True
2,3,3,3,True,True
3,3,2,3,False,False
4,3,3,3,True,True
5,2,2,2;3,True,True
6,0,0,0,True,True
7,3,3,3,True,True
8,0,0,0,True,True
9,3,3,1;2;3,True,True
10,3,2,1;2;3,False,True
11,3,2,3,False,False
12,3,3,2;3,True,True
13,0,0,0;1,True,True
14,3,3,2;3,True,True
15,0,0,0,True,True
16,3,3,2;3,True,True
17,2,3,1;2;3,False,True
18,2,2,2,True,True
19,2,2,0;1;2,True,True
20,2,2,1;2;3,True,True
21,3,3,2;3,True,True
22,0,0,0,True,True
23,0,0,0,True,True
24,0,0,0;1,True,True
25,0,0,0,True,True
26,0,0,0,True,True
