student_in_batch,expected_mark,model_mark,potential_marks,strict_match,relaxed_match
1,2,2,0;1;2,True,True
2,3,2,3,False,False
3,3,3,3,True,True
4,3,3,3,True,True
5,2,3,2,False,False
6,0,3,0,False,False
7,3,0,3,False,False
8,0,3,0,False,False
9,3,1,1;2;3,False,True
10,3,3,1;2;3,True,True
11,3,3,3,True,True
12,3,3,2;3,True,True
13,0,3,0;1,False,False
14,3,1,2;3,False,False
15,0,3,0,False,False
16,3,1,2;3,False,False
17,2,3,1;2,False,False
18,2,3,2,False,False
19,2,2,0;1;2,True,True
20,2,1,1;2;3,False,True
21,3,2,2;3,False,True
22,0,3,0,False,False
23,0,0,0,True,True
24,0,0,0;1,True,True
25,0,2,0,False,False
26,0,0,0,True,True
