student_in_batch,expected_mark,model_mark,potential_marks,strict_match,relaxed_match
1,2,3,0;1;2,False,False
2,3,2,3,False,False
3,3,2,3,False,False
4,3,3,3,True,True
5,3,2,2;3,False,True
6,0,3,0,False,False
7,3,3,3,True,True
8,0,3,0,False,False
9,3,3,1;2;3,True,True
10,3,3,2;3,True,True
11,3,0,3,False,False
12,3,0,2;3,False,False
13,0,3,0;1,False,False
14,3,3,2;3,True,True
15,0,2,0,False,False
16,3,1,2;3,False,False
17,3,3,2;3,True,True
18,2,3,2,False,False
19,2,3,0;1;2,False,False
20,3,3,1;2;3,True,True
21,3,3,2;3,True,True
22,0,3,0,False,False
23,0,3,0,False,False
24,0,3,0;1,False,False
25,0,1,0,False,False
26,0,1,0,False,False
