student_in_batch,expected_mark,model_mark,potential_marks,strict_match,relaxed_match
1,2,0,0;1;2,False,True
2,3,0,3,False,False
3,3,0,3,False,False
4,3,3,3,True,True
5,2,3,2,False,False
6,0,3,0,False,False
7,3,2,3,False,False
8,0,0,0,True,True
9,3,3,1;2;3,True,True
10,3,1,1;2;3,False,True
11,3,3,3,True,True
12,3,3,2;3,True,True
13,0,3,0;1,False,False
14,3,3,2;3,True,True
15,0,1,0,False,False
16,3,2,2;3,False,True
17,2,0,1;2,False,False
18,2,3,2,False,False
19,2,1,0;1;2,False,True
20,2,1,1;2;3,False,True
21,3,1,2;3,False,False
22,0,1,0,False,False
23,0,3,0,False,False
24,0,0,0;1,True,True
25,0,1,0,False,False
26,0,1,0,False,False
